196,　ながいも　いちょういも　塊根　生　,108,4.5,0.5,24,1.4,0.0127
197,　ながいも　ながいも　塊根　生　,65,2.2,0.3,14.9,1.0,0.00762
198,　ながいも　ながいも　塊根　水煮　,59,2.0,0.3,14,1.4,0.00762
199,　ながいも　やまといも　塊根　生　,123,4.5,0.2,29.6,2.5,0.03048
200,　じねんじょ　塊根　生　　,121,2.8,0.7,28.7,2.0,0.01524
201,　だいじょ　塊根　生　　,109,2.6,0.1,27.2,2.2,0.0508
202,キャッサバでん粉　　　,346,0.1,0.2,85.3,0,0.00254
203,くずでん粉　　　,347,0.2,0.2,85.6,0,0.00508
204,米でん粉　　　,366,0.2,0.7,89.3,0,0.02794
205,小麦でん粉　　　,351,0.2,0.5,86,0,0.00762
206,サゴでん粉　　　,349,0.1,0.2,86.1,0,0.01778
207,さつまいもでん粉　　　,332,0.1,0.2,82,0,0.00254
208,じゃがいもでん粉　　　,330,0.1,0.1,81.6,0,0.00508
209,とうもろこしでん粉　　　,354,0.1,0.7,86.3,0,0.00254
210,くずきり　乾　　,356,0.2,0.2,88.6,0.9,0.01016
211,くずきり　ゆで　　,135,0.1,0.1,34.1,0.8,0.00508
212,ごま豆腐　　　,81,1.5,4.3,10.1,1.0,0
213,タピオカパール　乾　　,355,0,0.2,88.3,0.5,0.0127
214,タピオカパール　ゆで　　,62,0,0,15.6,0.2,0
215,でん粉めん　生　　,131,0.1,0.2,33,0.8,0.02032
216,でん粉めん　乾　　,353,0.2,0.3,88.5,1.8,0.08128
217,でん粉めん　乾　ゆで　　,84,0,0.2,21.2,0.6,0.0127
218,はるさめ　緑豆はるさめ　乾　,356,0.2,0.4,91.6,4.1,0.03556
219,はるさめ　緑豆はるさめ　ゆで　,84,0,0.1,22.1,1.5,0
220,はるさめ　普通はるさめ　乾　,350,0,0.2,87.8,1.2,0.01778
221,はるさめ　普通はるさめ　ゆで　,80,0,0,20.7,0.8,0.00254
222,黒砂糖　　　,354,1.7,0,89.7,0,0.06858
223,和三盆糖　　　,383,0.2,0,98.8,0,0.00254
224,車糖　上白糖　　,384,0,0,99.2,0,0.00254
225,車糖　三温糖　　,382,0,0,98.7,0,0.01778
226,ざらめ糖　グラニュー糖　　,387,0,0,100,0,0
227,ざらめ糖　白ざら糖　　,387,0,0,100,0,0
228,ざらめ糖　中ざら糖　　,387,0,0,100,0,0.00508
229,加工糖　角砂糖　　,387,0,0,100,0,0
230,加工糖　氷砂糖　　,387,0,0,100,0,0
231,加工糖　コーヒーシュガー　　,387,0.1,0,99.9,0,0.00508
232,加工糖　粉糖　　,386,0,0,99.7,0,0.00254
233,液糖　しょ糖型液糖　　,271,0,0,70,0,0
234,液糖　転化型液糖　　,307,0,0,79.3,0,0.01016
235,氷糖みつ　　　,265,0.2,0,68.2,0,0.0254
236,粉あめ　　　,381,0,0,97,0,0
237,水あめ　酵素糖化　　,328,0,0,85,0,0
238,水あめ　酸糖化　　,328,0,0,85,0,0
239,ぶどう糖　全糖　　,335,0,0,91,0,0
240,ぶどう糖　含水結晶　　,336,0,0,91.3,0,0
241,ぶどう糖　無水結晶　　,367,0,0,99.7,0,0
242,果糖　　　,368,0,0,99.9,0,0
243,異性化液糖　ぶどう糖果糖液糖　　,276,0,0,75,0,0
244,異性化液糖　果糖ぶどう糖液糖　　,276,0,0,75,0,0
245,異性化液糖　高果糖液糖　　,276,0,0,75,0,0
246,黒蜜　,199,1.0,0,50.5,0,0.0381
247,はちみつ　,294,0.2,0,79.7,0,0.01524
248,メープルシロップ　　　,257,0.1,0,66.3,0,0.00254
249,あずき　全粒　乾　　　,339,20.3,2.2,76.5,17.8,0.00254
250,あずき　全粒　ゆで　　　,143,8.9,1.0,36,11.8,0.00254
251,あずき　ゆで小豆缶詰　　　,218,4.4,0.4,52.6,3.4,0.2286
252,あずき　あん　こしあん　　,155,9.8,0.6,33.9,6.8,0.00762
253,あずき　あん　さらしあん　　,385,26.2,1.0,94.4,27.6,0.02794
254,あずき　あん　つぶしあん　　,244,5.6,0.6,59.7,5.7,0.14224
255,いんげんまめ　全粒　乾　　　,333,19.9,2.2,77.1,19.3,0.00254
256,いんげんまめ　全粒　ゆで　　　,143,8.5,1.0,38.1,13.3,0
257,いんげんまめ　うずら豆　,237,6.7,1.3,55.5,5.9,0.2794
258,いんげんまめ　こしあん　　　,155,9.4,0.9,35.5,8.5,0.02286
259,いんげんまめ　豆きんとん　　　,249,4.9,0.5,61,4.8,0.254
260,えんどう　全粒　青えんどう　乾　　,352,21.7,2.3,77.8,17.4,0.00254
261,えんどう　全粒　赤えんどう　乾　　,352,21.7,2.3,77.8,17.4,0.00254
262,えんどう　全粒　青えんどう　ゆで　　,148,9.2,1.0,32.9,7.7,0.00254
263,えんどう　全粒　赤えんどう　ゆで　　,148,9.2,1.0,32.9,7.7,0.00254
264,えんどう　グリンピース（揚げ豆）　　　,423,20.8,11.6,78.4,19.6,0.889
265,えんどう　塩豆　　　,364,23.3,2.4,79.4,17.9,1.5494
266,えんどう　うぐいす豆　,240,5.6,0.7,58.2,5.3,0.381
267,ささげ　全粒　乾　　　,336,23.9,2.0,73.4,18.4,0.00254
268,ささげ　全粒　ゆで　　　,145,10.2,0.9,34.5,10.7,0
269,そらまめ　全粒　乾　　　,348,26.0,2.0,65.2,9.3,0.00254
270,そらまめ　フライビーンズ　　　,472,24.7,20.8,61.3,14.9,1.7526
271,そらまめ　おたふく豆　,251,7.9,1.2,58.1,5.9,0.4064
272,そらまめ　ふき豆　,263,9.6,1.6,57,4.5,0.8128
273,そらまめ　しょうゆ豆　,196,9.8,0.9,47.2,10.1,1.1684
274,国産　黄大豆　乾　,422,33.8,19.7,47.4,17.9,0.00254
275,国産　黒大豆　乾　,414,33.9,18.1,46.8,16.0,0
276,国産　黄大豆　ゆで　,176,14.8,9.8,15,6.6,0.00254
277,米国産　黄大豆　乾　,433,33.0,21.7,44.7,15.9,0.00254
278,中国産　黄大豆　乾　,422,32.8,19.5,46.4,15.6,0.00254
279,ブラジル産　黄大豆　乾　,451,33.6,22.6,48,17.3,0.00508
280,だいずいり大豆　黄大豆　,439,37.5,21.6,52.7,19.4,0.0127
281,だいずいり大豆　黒大豆　,442,36.4,22.0,53.5,19.2,0.01016
282,だいずいり大豆　青大豆　,435,37.7,20.7,52.3,18.4,0.01016
283,だいず水煮缶詰　黄大豆　　,140,12.9,6.7,14.5,6.8,0.5334
284,だいず蒸し大豆　黄大豆 　,205,16.6,9.8,22.6,8.8,0.5842
285,だいずきな粉　全粒大豆　黄大豆　,450,36.7,25.7,46.6,18.1,0.00254
286,だいずきな粉　全粒大豆　青大豆　,431,37.0,22.8,46.2,16.9,0.00254
287,だいずきな粉　脱皮大豆　黄大豆　,451,37.5,25.1,44.8,15.3,0.00508
288,だいず大豆はいが　　,442,37.8,14.7,58.3,18.8,0
289,だいずぶどう豆　,289,14.1,9.4,43.3,6.3,1.5748
290,木綿豆腐　,72,6.6,4.2,2,0.4,0.14986
291,絹ごし豆腐　　,56,4.9,3.0,2.3,0.3,0.03556
292,ソフト豆腐　　,59,5.1,3.3,2.4,0.4,0.01778
293,充てん豆腐　　,59,5.0,3.1,2.8,0.3,0.0254
294,沖縄豆腐　　,106,9.1,7.2,1.2,0.5,0.4318
295,ゆし豆腐　　,50,4.3,2.8,2,0.3,0.6096
296,焼き豆腐　　,88,7.8,5.7,1.5,0.5,0.01016
297,生揚げ　　,150,10.7,11.3,1.6,0.7,0.00762
298,油揚げ　生　,410,23.4,34.4,1.7,1.3,0.01016
299,油揚げ　油抜き　生　,288,18.2,23.4,0,0.9,0.00508
300,油揚げ　油抜き　焼き　,398,24.9,32.2,1.9,1.2,0.01016
301,油揚げ　油抜き　ゆで　,177,12.4,13.8,0.9,0.6,0
302,がんもどき　　,228,15.3,17.8,3,1.4,0.4826
303,凍り豆腐　乾　,536,50.5,34.1,6.7,2.5,1.1176
304,凍り豆腐　水煮　,115,10.7,7.3,1.6,0.5,0.6604
305,豆腐よう　　,189,9.5,8.3,19.9,0.8,1.9304
306,豆腐竹輪　蒸し　,126,14.9,4.4,7.5,0.8,1.8796
307,豆腐竹輪　焼き　,139,16.1,4.9,8.2,0.7,2.286
308,ろくじょう豆腐　　,347,34.7,21.5,7,3.2,10.922
309,糸引き納豆　　,200,16.5,10.0,18.8,6.7,0.00508
310,挽きわり納豆　　,194,16.6,10.0,16.4,5.9,0.00508
311,五斗納豆　　,227,15.3,8.1,28.9,4.9,5.842
312,寺納豆　　,271,18.6,8.1,39.1,7.6,14.224
313,おから　生　,111,6.1,3.6,25.3,11.5,0.0127
314,おから　乾燥　,421,23.1,13.6,95.9,43.6,0.04826
315,豆乳　豆乳　,46,3.6,2.0,3.3,0.2,0.00508
316,豆乳　調製豆乳　,64,3.2,3.6,5.1,0.3,0.127
317,豆乳　豆乳飲料・麦芽コーヒー　,60,2.2,2.2,7.9,0.1,0.10668
318,大豆たんぱく　粒状大豆たんぱく　　,360,46.3,3.0,54.5,17.8,0.00762
319,大豆たんぱく　濃縮大豆たんぱく　　,361,58.2,1.7,48.8,20.9,1.397
320,大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　,388,79.1,3.0,11.7,4.2,3.302
321,大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　,388,79.1,3.0,11.7,4.2,1.6256
322,大豆たんぱく　繊維状大豆たんぱく　　,383,59.3,5.0,30.8,5.6,3.556
323,湯葉　生　　,231,21.8,13.7,4.9,0.8,0.01016
324,湯葉　干し　乾　,530,50.4,32.1,10.2,3.0,0.03048
325,湯葉　干し　湯戻し　,161,15.7,10.6,1.3,1.2,0.00508
326,金山寺みそ　　　,256,6.9,3.2,53.2,3.2,5.08
327,ひしおみそ　　　,206,6.5,2.7,41.6,2.8,4.826
328,テンペ　　　,202,15.8,9.0,25.6,10.2,0.00508
329,つるあずき　全粒　乾　　　,348,20.8,1.6,83.8,22.0,0.00254
330,つるあずき　全粒　ゆで　　　,159,9.7,1.0,40.9,13.4,0
331,ひよこまめ　全粒　乾　　　,374,20.0,5.2,77.8,16.3,0.04318
332,ひよこまめ　全粒　ゆで　　　,171,9.5,2.5,39,11.6,0.0127
333,ひよこまめ　全粒　フライ　味付け　　　,419,18.8,10.4,83.6,21.0,1.778
334,べにばないんげん　全粒　乾　　　,332,17.2,1.7,87.9,26.7,0.00254
335,べにばないんげん　全粒　ゆで　　　,121,6.2,0.6,29.9,7.6,0.00254
336,らいまめ　全粒　乾　　　,351,21.9,1.8,80.4,19.6,0
337,らいまめ　全粒　ゆで　　　,152,9.6,0.9,36.9,10.9,0
338,りょくとう　全粒　乾　　　,354,25.1,1.5,73.7,14.6,0
339,りょくとう　全粒　ゆで　　　,137,10.2,0.6,27.7,5.2,0.00254
340,レンズまめ　全粒　乾　　　,352,23.2,1.5,77.4,16.7,0
341,レンズまめ　全粒　ゆで　　　,170,11.2,0.8,38.5,9.4,0
342,アーモンド　乾　　　,587,19.6,51.8,31,10.1,0.00254
343,アーモンド　フライ 味付け　　　,606,19.2,53.6,34.2,11.9,0.3302
344,アーモンド　いり　無塩　　　,608,20.3,54.1,31.7,11.0,0
345,あさ　乾　　　,463,29.5,27.9,54,22.7,0.00508
346,あまに　いり　,564,21.9,43.5,54.5,24.0,0.1778
